trial,paradigm,strategy,model,ma_window,threshold,accuracy,precision,recall,specificity,f1,auroc,brier_score,ece
5,wavelet,downsample_2x,RandomForest,18,0.43,0.5484237039497357,0.52566692008306,0.8664179244047953,0.23881969481772825,0.6543383381121203,0.6482043839835798,0.23942107487864284,0.0759755790201956
5,wavelet,downsample_2x,XGBoost,19,0.43,0.5579820458173028,0.5330107463041026,0.8395051338158559,0.28388688590261846,0.6520365474564945,0.6486651366118819,0.23828855734892468,0.06204500779062188
6,wavelet,downsample_2x,AdaptiveNN,20,0.47,0.5645334149889,0.7816884738762417,0.5586883218406898,0.5802573760200879,0.6516379917462499,0.5876170142815874,0.25968881857458137,0.25559260423821284
6,wavelet,downsample_2x,LogisticRegression,20,0.47,0.6885052778415712,0.7759612303298458,0.8051909412300046,0.3746076585059636,0.7903059106460341,0.639795842876295,0.2497200156491759,0.23778330303853593
6,wavelet,downsample_2x,RandomForest,20,0.45,0.6296834996214924,0.7513440379549167,0.7354066762341466,0.3452762084118016,0.7432899360833982,0.5836146212232393,0.26127111297598676,0.2578991291326519
6,wavelet,downsample_2x,XGBoost,20,0.45,0.6286585521447345,0.7586404148137214,0.7195386607861668,0.384180790960452,0.7385723652890929,0.589179530589667,0.2619937777965623,0.2601145217321028
7,wavelet,downsample_2x,AdaptiveNN,20,0.35,0.410410863899236,0.410255836461591,1.0,0.0004456581517513417,0.5818176047984958,0.7098201219913256,0.22840420871911224,0.12284617378737014
7,wavelet,downsample_2x,LogisticRegression,3,0.37,0.4103661196684453,0.41019628035573363,0.999440898925435,0.0007585670668107944,0.5816630622408285,0.6546033007620676,0.23530903534673125,0.10535118313125531
7,wavelet,downsample_2x,RandomForest,18,0.28,0.4103884917838406,0.41024665596276383,1.0,0.000407729798410802,0.5818083726391704,0.7379715190309547,0.23096717744508607,0.16066427283236231
7,wavelet,downsample_2x,XGBoost,18,0.29,0.41039408481268946,0.41024895104895104,1.0,0.00041721188674593695,0.5818106806515341,0.7182073506370434,0.22863290928736693,0.14116193220265333
8,wavelet,downsample_2x,AdaptiveNN,20,0.42,0.7057927184579167,0.7059960737325537,0.9891777610315666,0.057203633436817294,0.8239339248756383,0.6336150410127009,0.2325146041359007,0.17487388396262737
8,wavelet,downsample_2x,LogisticRegression,2,0.4,0.6966033843787148,0.6964379966464971,0.9998576572050574,0.0025391897589207004,0.8210111982949028,0.6175608612951689,0.24147250369543707,0.19280437086622637
8,wavelet,downsample_2x,RandomForest,18,0.34,0.6969734051231848,0.6966914231372846,0.9998744034162271,0.0037177570809857805,0.8211929182726857,0.5606074350013329,0.24619693354165803,0.20232254487215703
8,wavelet,downsample_2x,XGBoost,18,0.35,0.6972851548842738,0.6969388320925034,0.9997655530436239,0.004992142884519566,0.8213280321647031,0.5845416708149499,0.242912132368404,0.19802793482855632
9,wavelet,downsample_2x,AdaptiveNN,18,0.42,0.540035035035035,0.4115652678452838,0.883993993993994,0.3680555555555556,0.5616435089125157,0.6967713493899305,0.22340090630043494,0.12422010479799567
9,wavelet,downsample_2x,LogisticRegression,20,0.48,0.557992992992993,0.4074080391638451,0.7172522522522522,0.4783633633633634,0.519649063643929,0.6445378399796193,0.24089812872992292,0.15252919540448787
9,wavelet,downsample_2x,RandomForest,7,0.36,0.34227227227227225,0.3360616760590455,0.9974774774774775,0.01466966966966967,0.5027433233186266,0.600679403277151,0.23224851110998335,0.13549947211385321
9,wavelet,downsample_2x,XGBoost,19,0.43,0.5005105105105105,0.3853929325986992,0.8381081081081081,0.3317117117117117,0.5279945514912455,0.6500989036897258,0.22809900983549297,0.13181151860855042
10,wavelet,downsample_2x,AdaptiveNN,20,0.55,0.44036940586419754,0.69901795304588,0.1765492384606441,0.8748165166890037,0.2818997524752475,0.6216181004163994,0.2434923521560598,0.1300971375718379
10,wavelet,downsample_2x,LogisticRegression,20,0.52,0.4164014274691358,0.6561585008783916,0.13027554935472618,0.8875805731061331,0.21738989846730905,0.5097532283168031,0.25683799410634606,0.15166163341734062
10,wavelet,downsample_2x,RandomForest,18,0.53,0.45378809799382713,0.7339422291527438,0.19152811688563345,0.8856659646435637,0.30378190647426734,0.6277492754414343,0.24756314570638302,0.15638870984971087
10,wavelet,downsample_2x,XGBoost,18,0.54,0.44246720679012347,0.7347224654176151,0.1626167499903112,0.903312272640245,0.2662943453703116,0.6182296661978622,0.24814583030496576,0.1481042634031776
1,wavelet,weighted_sampler,AdaptiveNN,20,0.55,0.838769731387181,0.5747301864166576,0.3132501485442662,0.9506524227876764,0.40549167403761105,0.7918155932321307,0.22670898389641772,0.312964562926021
1,wavelet,weighted_sampler,LogisticRegression,20,0.49,0.4775008734740278,0.2022891199685,0.6715686274509803,0.43618400662859025,0.31092252039118057,0.5757823597712644,0.24885862483230756,0.3245824572173756
1,wavelet,weighted_sampler,RandomForest,20,0.52,0.8349968450639591,0.5306227717514982,0.5195484254307784,0.9021555568205537,0.5250272075655796,0.8248869529118423,0.23139114860919235,0.3103786725153699
1,wavelet,weighted_sampler,XGBoost,20,0.54,0.8562313897884367,0.6314278932263007,0.43465537730243614,0.945984579672745,0.514881973588126,0.8341900543531665,0.22971188479773075,0.31807671234476165
